_id,IBMS Address,Address of Existing Rental Building,RH File Number,(Post 2018) Ward,City Council Approval Date,Link to Staff Report,Type,Total Rental Homes for Demolition,Affordable Rental Homes for Demolition,Mid-Range Rental Homes for Demolition,High-End Rental Homes for Demolition,Total Rental Homes Replaced,Affordable Rental Homes Replaced,Mid-Range Rental Homes Replaced,High-End Rental Homes Replaced
65,515 CHAPLIN CRES,515 and 525 Chaplin Crescent,10 121754 NNY 00 RH,8,2022-07-19,Final Staff Report,Demolition - 6 Rental Units or More,9,7,2,NA,9,7,2,NA
66,58 ATLANTIC AVE,"25 & 35 Liberty Street, 51, 61 & 65 Jefferson Avenue",15 130397 STE 14 RH,10,2022-07-19,Final Staff Report,Demolition - 6 Rental Units or More,42,1,13,28,50,4,15,31
67,"314-317 & 325 BOGERT AVE, 305-308 POYNTZ AVE","314, 315, 316, 317 and 325 Bogert Avenue",17 139152 NNY 23 RH,18,2022-07-19,Final Staff Report,Demolition - 6 Rental Units or More,279,165,114,NA,279,165,114,NA
68,"7, 25, 27, 29 HEATH ST E, 36 ALVIN AVE","7 Heath Street East, 25-29 Health Street, 36 Alvin Avenue",19 134877 STE 12 RH,12,2022-07-19,Final Staff Report,Demolition - 6 Rental Units or More,36,17,18,1,40,21,18,1
69,1540-1550 BLOOR ST W,1540-1548 Bloor Street West,19 263430 STE 04 RH,4,2022-07-19,Final Staff Report,Demolition - 6 Rental Units or More,12,12,NA,NA,12,12,NA,NA
70,241 REDPATH AVE,241 Redpath Avenue,20 151708 NNY 15 RH,15,2022-07-19,Final Staff Report,Demolition - 6 Rental Units or More,46,30,16,NA,46,30,16,NA
71,65-99 SILVER SPRINGS BLVD,"87, 89, 91, 93, 95, 97, and 99 Silver Springs Boulevard",20 164711 ESC 22 RH,22,2022-07-19,Final Staff Report,Demolition - 6 Rental Units or More,56,45,NA,11,56,45,NA,11
72,1801-1807 EGLINTON AVE W,1801-1807 Eglinton Avenue WeståÊ,20 170679 STE 12 RH,12,2022-07-19,Final Staff Report,Demolition - 6 Rental Units or More,47,30,17,NA,47,30,17,NA
73,334-350 BLOOR ST W AND 2-6 SPADINA RD,334 Bloor Street West and 2 Spadina Road,20 192558 STE 11 RH,11,2022-07-19,Final Staff Report,Demolition - 6 Rental Units or More,24,15,9,NA,24,15,9,NA
74,"2674, 2676, 2704 YONGE STREET","2674, 2676, and 2678 Yonge Street",20 194151 NNY 08 RH,8,2022-07-19,Final Staff Report,Demolition - 6 Rental Units or More,31,19,12,NA,31,19,12,NA
75,71 TALARA DR,71 Talara Drive,21 113723 NNY 17 RH,17,2022-07-19,Final Staff Report,Demolition - 6 Rental Units or More,29,18,11,NA,29,18,11,NA
76,316-336 CAMPBELL AVE,"316, 318, 332, and 336 Campbell Avenue",21 138112 STE 09 RH,9,2022-07-19,Final Staff Report,Demolition - 6 Rental Units or More,9,6,3,NA,9,6,3,NA
77,2808 - 2810 KEELE STREET,2808 and 2810 Keele Street,21 138298 NNY 06 RH,6,2022-07-19,Final Staff Report,Demolition - 6 Rental Units or More,54,48,6,NA,54,48,6,NA
78,1423-1437 BLOOR ST W & 278 STERLING RD,1423-1437 Bloor Street West,21 139673 STE 09 RH,9,2022-07-19,Final Staff Report,Demolition - 6 Rental Units or More,17,13,4,NA,17,13,4,NA
79,40 RAGLAN AVE,40 Raglan Avenue,21 212466 STE 12 RH,12,2022-07-19,Final Staff Report,Demolition - 6 Rental Units or More,62,51,11,NA,62,51,11,NA
80,8-16 LOCUST ST & 15 OXFORD DR,8 and 12 Locust Street,20 113222 WET 05 RH,5,2022-07-19,Final Staff Report,Demolition - 6 Rental Units or More,6,6,NA,NA,6,6,NA,NA
81,621-627 Richmond Street West and 152-164 Bathurst Street,621-627 Richmond Street West and 152-164 Bathurst Street,21 181261 STE 10 RH,10,2023-05-10,Final Report,Demolition - 6 Rental Units or More,12,NA,NA,12,NA,NA,NA,NA
82,25 St. Mary Street,25 St. Mary Street,21 166617 STE 13 RH,13,2023-05-10,Final Report,Demolition - 6 Rental Units or More,259,25,234,0,259,25,234,0
83,"1625, 1633, 1641 Kingston Road and 52 Birchcliff Avenue","1625, 1633, 1641 Kingston Road and 52 Birchcliff Avenue",20 203480 ESC 20 RH,20,2023-02-07,Final Report,Demolition - 6 Rental Units or More,33,32,1,0,33,32,1,0
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
